maker,model,mileage,manufacture_year,engine_displacement,engine_power,body_type,color_slug,stk_year,transmission,door_count,seat_count,fuel_type,date_created,date_last_seen,price_eur
citroen,c4-picasso,38484.0,2011.0,1560.0,82.0,van,grey,2018.0,man,5.0,7.0,diesel,2016-01-09 18:41:57.824589+00,2016-01-19 18:08:24.236535+00,12900.0
ford,fiesta,134500.0,2009.0,1596.0,92.0,compact,black,2017.0,man,4.0,5.0,gasoline,2016-01-09 18:41:58.572444+00,2016-01-19 18:08:29.457059+00,7850.0
audi,a4,273600.0,2005.0,2496.0,120.0,convertible,black,2017.0,auto,2.0,4.0,diesel,2016-01-09 18:41:59.818088+00,2016-07-03 18:40:35.343737+00,5999.0
suzuki,alto,57700.0,2004.0,1061.0,46.0,compact,black,2018.0,man,4.0,4.0,gasoline,2016-01-09 18:42:02.850701+00,2016-07-03 16:58:03.915298+00,3450.0
hyundai,i10,53700.0,2011.0,1086.0,51.0,compact,white,2018.0,man,4.0,5.0,gasoline,2016-01-09 19:09:22.851548+00,2016-07-03 16:57:26.449043+00,5980.0
ford,puma,136666.0,1998.0,1679.0,92.0,coupe,silver,2017.0,man,3.0,4.0,gasoline,2016-01-09 19:10:03.653337+00,2016-01-19 18:26:54.45807+00,1500.0
mazda,premacy,149000.0,2005.0,1840.0,74.0,van,silver,2018.0,man,4.0,5.0,gasoline,2016-01-09 19:10:04.516914+00,2016-07-03 16:57:25.34492+00,2499.0
ford,fiesta,75129.0,2009.0,1242.0,60.0,compact,blue,2017.0,man,4.0,5.0,gasoline,2016-01-09 19:13:02.511307+00,2016-01-19 18:27:15.516539+00,8850.0
mazda,premacy,267483.0,2002.0,1840.0,74.0,van,black,2016.0,man,4.0,5.0,gasoline,2016-01-09 19:13:05.402154+00,2016-01-19 18:27:25.916592+00,2250.0
audi,a4,156000.0,2005.0,2496.0,120.0,convertible,grey,2016.0,man,2.0,4.0,diesel,2016-01-09 19:13:07.211072+00,2016-01-19 18:27:29.048526+00,7900.0
toyota,yaris,157100.0,2005.0,1298.0,64.0,compact,black,2016.0,man,4.0,5.0,gasoline,2016-01-09 19:14:11.060335+00,2016-01-19 18:27:36.165603+00,4300.0
mercedes-benz,vito,269500.0,2005.0,2148.0,80.0,transporter,beige,2017.0,auto,4.0,2.0,diesel,2016-01-09 20:03:18.722967+00,2016-07-03 16:55:17.325646+00,1900.0
audi,a5,183000.0,2009.0,2698.0,140.0,coupe,grey,2016.0,man,2.0,4.0,diesel,2016-01-09 20:03:19.816237+00,2016-01-19 18:28:29.750288+00,13990.0
ford,fiesta,64666.0,2002.0,1299.0,44.0,compact,green,2016.0,man,2.0,5.0,gasoline,2016-01-09 20:03:50.747262+00,2016-01-19 18:29:02.732702+00,1950.0
fiat,500,19000.0,2013.0,1242.0,51.0,convertible,blue,2016.0,man,2.0,4.0,gasoline,2016-01-09 20:03:51.643172+00,2016-07-03 17:06:28.086263+00,9500.0
opel,astra,226000.0,1997.0,1598.0,55.0,compact,green,2016.0,man,4.0,5.0,gasoline,2016-01-09 20:03:52.516962+00,2016-07-03 18:41:30.973635+00,750.0
opel,astra,100412.0,1999.0,1796.0,85.0,compact,black,2016.0,man,4.0,5.0,gasoline,2016-01-09 20:03:57.407069+00,2016-01-19 18:29:21.923058+00,2500.0
audi,s3,38700.0,2013.0,1984.0,221.0,compact,red,2017.0,auto,4.0,5.0,gasoline,2016-01-09 20:04:25.725642+00,2016-01-19 18:29:31.286151+00,44900.0
smart,fortwo,41200.0,2007.0,999.0,52.0,coupe,black,2016.0,auto,2.0,2.0,gasoline,2016-01-09 20:57:58.525759+00,2016-01-19 19:21:08.066611+00,4900.0
citroen,saxo,233000.0,2000.0,954.0,37.0,compact,grey,2017.0,man,2.0,5.0,gasoline,2016-01-09 20:59:19.787885+00,2016-07-03 18:42:13.200327+00,800.0
opel,corsa,285000.0,2000.0,1686.0,44.0,compact,silver,2016.0,man,2.0,5.0,diesel,2016-01-09 20:59:20.687818+00,2016-01-19 18:31:20.254248+00,680.0
hyundai,coupe,202600.0,2001.0,1975.0,102.0,coupe,grey,2016.0,man,2.0,4.0,gasoline,2016-01-09 20:59:22.962514+00,2016-07-03 17:00:38.781893+00,850.0
mazda,mx-5,99000.0,1999.0,1597.0,81.0,convertible,black,2016.0,man,2.0,2.0,gasoline,2016-01-09 20:59:59.602706+00,2016-07-03 17:06:31.125794+00,3990.0
audi,a3,64144.0,2011.0,1390.0,92.0,convertible,black,2018.0,man,2.0,4.0,gasoline,2016-01-09 20:59:59.682241+00,2016-01-19 18:31:52.585941+00,16900.0
opel,corsa,147000.0,1999.0,1199.0,48.0,compact,green,2016.0,man,2.0,5.0,gasoline,2016-01-09 21:00:15.927278+00,2016-01-19 19:19:04.691386+00,1300.0
fiat,500l,48600.0,2012.0,1368.0,70.0,van,black,2017.0,man,4.0,5.0,gasoline,2016-01-09 21:01:16.499427+00,2016-01-19 19:19:23.330595+00,10600.0
nissan,370-z,62500.0,2009.0,3696.0,243.0,coupe,white,2016.0,auto,2.0,2.0,gasoline,2016-01-09 21:01:17.705276+00,2016-01-19 19:19:27.357596+00,23690.0
